Shungo Oyama 
Alptekin Özkiliç 
Nick Pace 
Joe Pacheco 
Damacio Page 
Michael Page 
Dustin Pague 
Fredson Paixão 
Bart Palaszewski 
Soa Palelei 
Rousimar Palhares 
Luis Palomino 
Jared Papazian 
Norman Paraisy 
Remco Pardoel 
Ido Pariente 
Karo Parisyan 
Norman Parke 
Mikkel Parlo 
Jorge Patino 
Alan Patrick 
Claude Patrick 
Erik Paulson 
Estevan Payan 
Joe Pearson 
Ross Pearson 
André Pederneiras 
Eric Pele 
Kurt Pellegrino 
Sherman Pendergarst 
Cathal Pendred 
B.J. Penn 
Robbie Peralta 
Erik Perez 
Anthony Perosh 
Thiago Perpétuo 
Viktor Pešta 
Willie Peeters 
Godofredo Pepey 
Seth Petruzelli 
Anthony Pettis 
Sergio Pettis 
Forrest Petz 
Nam Phan 
Costas Philippou 
Vinc Pichel 
Brad Pickett 
Mike Pierce 
Sean Pierson 
Daniel Pineda 
Craig Pittman 
Mike Plotcheck 
Dustin Poirier 
Igor Pokrajac 
John Polakowski 
Ruan Potts 
Wagner Prado 
Trevor Prangley 
Carlo Prater 
Michel Prazeres 
Brent Primus 
Eric Prindle 
Joe Proctor 
Bruno Pucci 
Daniel Puder 
Mariusz Pudzianowski 
Jens Pulver 
Mike Pyle 
Bao Quach 
Nathan Quarry 
Vinicius Queiroz 
Dan Quinn
Benji Radach 
Jordan Radev 
Ricky Rainey 
Hector Ramirez 
Luis Ramos 
Kevin Randleman 
Ed Ratcliff 
Gideon Ray 
Levan Razmadze 
Rafael Rebello 
J.P. Reese 
Alex Reid 
Chad Reiner 
Jason Reinhardt 
Wilson Reis 
Goran Reljic 
Yahir Reyes 
Eric Reynolds 
Johnny Rhodes 
Alexandre Ribeiro 
Saulo Ribeiro
Vitor Ribeiro 
Will Ribeiro 
Mike Ricci 
Matt Ricehouse 
Mike Richman 
David Rickels 
Matthew Riddle 
Jeremiah Riggs 
Joe Riggs BFC
Aaron Riley 
Nick Ring 
Mike Rio 
Shannon Ritch 
Dante Rivera 
Francisco Rivera 
Jimmie Rivera 
Jorge Rivera 
Pedro Rizzo 
Andre Roberts 
Daniel Roberts 
Kenny Robertson 
Alvin Robinson 
Carlos Eduardo Rocha 
Vagner Rocha 
Luke Rockhold 
Jose \"Dos Caras Jr.\" Rodríguez 
Ricco Rodriguez 
Yair Rodríguez 
Brett Rogers 
Brian Rogers 
Shane Roller 
Ricardo Romero 
Yoel Romero 
Jesse Ronson 
George Roop 
Rene Rooze 
João Roque 
Aaron Rosa 
Charles Rosa 
Jake Rosholt 
Jared Rosholt 
Kevin Rosier 
Nick Rossborough 
Ben Rothwell 
Rick Roufus 
Chad \"Akebono\" Rowan 
Mauricio \"Shogun\" Rua 
Murilo \"Ninja\" Rua 
Marco Ruas 
Gabe Ruediger 
Anthony Ruiz 
Mike Russow 
Bas Rutten 
Rany Saadeh 
Amir Sadollah 
Frankie Saenz 
Tarec Saffiedine 
Tomoyuki Saito 
Yukio Sakaguchi 
Kazuhiro Sakamoto 
Mitsuhiro Sakamoto 
Alessio Sakara 
Wataru Sakata 
Kazushi \"Gracie Hunter\" Sakuraba 
Naoki Sakurada 
Hayato Sakurai 
Justin Salas 
Ivan Salaverry 
Marcello Salazar 
Sean Salmon 
John Salter 
Zabit Samedov
Josh Samman 
Josh Sampo 
Angelo Sanchez 
Diego Sanchez 
Eddie Sanchez 
Marlon Sandro 
Naoki Sano 
Giva Santana 
Jorge Santiago 
Bruno Santos 
Evangelista Santos 
Iliarde Santos 
Leonardo Santos 
Luis Santos 
Thiago Santos 
Bob Sapp 
Daniel Sarafian 
Diego Saraiva 
Alexander Sarnavskiy 
Yuki Sasaki 
Yuta Sasaki 
Malaipet Sasiprapa 
Paul Sass 
Masaaki Satake 
Rumina Sato 
Takenori Sato 
Ben Saunders 
Townsend Saunders 
Irshaad Sayed 
Lumumba Sayers 
Ian Schaffa 
Eric Schafer 
Kerry Schall 
Eric Schambari 
Brendan Schaub 
Nino Schembri 
Fabiano Scherner 
Samy Schiavo 
Joe Schilling 
Semmy Schilt 
Adam Schindler 
Bob Schrijber 
Mark Schultz 
Ryan Schultz 
Justin Scoggins 
Brad Scott 
Neil Seery 
Ray Sefo 
Rony Sefo 
Yasuto Sekishima 
Pete Sell 
Andrei Semenov 
Mackens Semerzier 
Alex Serdyukov 
Matt Serra 
Fredy Serrano
Dan \"The Beast\" Severn 
Kamal Shalorus 
Shahbulat Shamhalaev 
Frank Shamrock 
Ken Shamrock 
Sean Sherk 
Katsuyori Shibata 
Jake Shields 
Suguru Shigeno 
Kiyotaka Shimizu 
Yuya Shirai 
Wes Shivers 
Alexander Shlemenko 
Josh Shockley 
Akira Shoji 
Yuki Shoujou 
Sam Sicilia 
Kirill Sidelnikov 
Steven Siler 
SialaMou \"Mighty Mo\" Siliga 
Anderson \"The Spider\" Silva 
Antônio Silva 
Assuerio Silva 
Cláudio Silva 
Erick Silva 
Jay Silva 
Paulo \"Giant\" Silva 
Rafael Silva 
Thiago Silva 
Wanderlei \"The Axe Murderer\" Silva 
Elias Silvério 
Aaron Simpson 
Heath Sims 
Wes Sims 
Lodune Sincaid 
Rory Singer 
Elvis Sinosic 
Dennis Siver 
Chas Skelly 
Matt Skelton 
Shanon Slack 
Joe Slick 
Ray Sloan 
Paul Slowinski 
Kestutis Smirnovas 
Anthony Smith 
Colton Smith 
David Smith 
Jordan Smith 
Maurice \"Mo\" Smith 
Patrick Smith 
Scott Smith 
Trevor Smith 
Louis Smolka 
André Soares 
Peter Sobotta 
Renato Sobral 
Rameau Thierry Sokoudjou 
Rambaa Somdet 
Joe Son 
Chael Sonnen 
Sean Soriano 
Chandet Sorpantrey 
Krzysztof Soszynski 
George Sotiropoulos 
Greg Soto 
Joe Soto 
Bobby Southworth 
Cristiano Souza 
Kevin Souza 
Ronaldo Souza 
Andreas Spång 
Chris Spång 
Ron Sparks 
Tom Speer 
Sean Spencer 
Mario Sperry 
Ben Spijkers 
Waachiim Spiritwolf 
Dan Spohn 
Tyrone Spong 
Jeremy Spoon 
Pete Spratt 
Ron Stallings 
Brian Stann 
Martin Stapleton 
Clifford Starks 
Kalib Starnes 
Steve Steinbeiss 
Akop Stepanyan 
Jeremy Stephens 
Aljamain Sterling 
Joe Stevenson 
Trevor Stewardson 
Luke Stewart 
Alex Stiebling 
Tyler Stinson 
Ken Stone 
Rick Story 
